Year,Cycle 0 = off,TP_Total,TP_White,TP_Wht_Non_Hispanic,TP_Black,TP_Asian,TP_Hispanic,TP_Male,TP_Female,1824_Total,1824_White,18_24_Wht_Non_Hispanic,1824_Black,1824_Asian,18_24_Hispanic,1824_Male,1824_Female,2544_Total,2544_White,25-44_Wht_Non_Hispanic,2544_Black,2544_Asian,2544_Hispanic,2544_Male,2544_Female,4564_Total,4564_White,4564_Wht_Non_Hispanic,4564_Black,4564_Asian,4564_Hispanic,4564_Male,4564_Female,65over_Total,65over_White,65over_Wht_Non_Hispanic,65over_Black,65over_Asian,65over_Hispanic,65over_Male,65over_Female,ED_9_12th,ED_HS_GRAD,ED_SOME_COLL,ED_BACH,ED_ADV
2000,1,0.595,0.605,0.618,0.568,0.433,0.451,0.531,0.562,0.36105536,0.364611955,0.38080844,0.361925844,0.272853186,0.256063618,0.33975229,0.381792694,0.560596678,0.565855041,0.579527761,0.565461029,0.431043257,0.432569529,0.536610227,0.583266399,0.677994756,0.687967123,0.697210726,0.654676259,0.475833901,0.557771261,0.664051915,0.691030011,0.696306774,0.703963608,0.709230941,0.659566654,0.539964476,0.603562005,0.732103484,0.669522241,0.336,0.494,0.603,0.703,0.756
2002,0,0.461,0.475,0.491,0.423,0.312,0.304,0.414,0.43,0.193,0.194,0.204,0.206,0.159,0.133,0.157,0.186,0.389,0.395,0.4,0.394,0.259,0.276,0.327,0.354,0.561,0.574,0.585,0.525,0.416,0.409,0.526,0.535,0.627,0.6,0.648,0.565,0.388,0.491,0.654,0.577,0.236,0.371,0.458,0.566,0.636
2004,1,0.638,0.654,0.672,0.6,0.442,0.472,0.563,0.601,0.467,0.475,0.498,0.471,0.343,0.33,0.388,0.449,0.601,0.615,0.635,0.593,0.402,0.452,0.49,0.552,0.704,0.72,0.732,0.653,0.512,0.562,0.653,0.679,0.71,0.722,0.731,0.659,0.477,0.57,0.719,0.667,0.346,0.524,0.661,0.727,0.775
2006,0,0.478,0.497,0.518,0.41,0.324,0.323,0.424,0.447,0.221,0.229,0.241,0.202,0.146,0.166,0.186,0.212,0.399,0.4,0.428,0.382,0.281,0.282,0.323,0.365,0.576,0.595,0.609,0.504,0.386,0.425,0.534,0.551,0.625,0.642,0.653,0.518,0.448,0.469,0.644,0.575,0.269,0.405,0.494,0.611,0.696
2008,1,0.636,0.644,0.661,0.647,0.476,0.499,0.557,0.604,0.485,0.477,0.494,0.554,0.406,0.388,0.41,0.477,0.6,0.601,0.621,0.64,0.473,0.477,0.484,0.553,0.692,0.702,0.712,0.687,0.51,0.581,0.63,0.669,0.703,0.715,0.726,0.68,0.451,0.56,0.702,0.665,0.399,0.549,0.68,0.77,0.827
2010,0,0.455,0.467,0.486,0.435,0.308,0.312,0.409,0.427,0.213,0.211,0.222,0.2,0.135,0.161,0.187,0.206,0.371,0.373,0.388,0.389,0.292,0.281,0.305,0.339,0.544,0.555,0.6,0.527,0.356,0.402,0.507,0.515,0.608,0.622,0.631,0.559,0.373,0.478,0.6,0.565,0.246,0.379,0.463,0.577,0.671
2012,1,0.618,0.622,0.641,0.662,0.473,0.48,0.544,0.585,0.412,0.404,0.42,0.487,0.309,0.342,0.347,0.413,0.573,0.568,0.588,0.65,0.469,0.466,0.462,0.526,0.679,0.682,0.695,0.723,0.505,0.556,0.617,0.65,0.72,0.726,0.734,0.747,0.537,0.599,0.719,0.68,0.383,0.526,0.642,0.8,0.813
2014,0,0.419,0.434,0.458,0.397,0.271,0.312,0.372,0.396,0.171,0.2,0.182,0.194,0.121,0.126,0.147,0.172,0.325,0.332,0.352,0.337,0.203,0.221,0.263,0.304,0.496,0.508,0.523,0.484,0.331,0.377,0.5,0.5,0.594,0.606,0.618,0.565,0.396,0.455,0.601,0.555,0.217,0.339,0.417,0.532,0.6
2016,1,0.614,0.629,0.653,0.594,0.49,0.476,0.538,0.581,0.43,0.44,0.466,0.423,0.38,0.343,0.365,0.424,0.565,0.575,0.6,0.567,0.475,0.461,0.455,0.523,0.666,0.678,0.696,0.656,0.525,0.545,0.599,0.633,0.709,0.722,0.734,0.685,0.526,0.567,0.701,0.671,0.353,0.515,0.633,0.742,0.803
2018,0,0.534,0.6,0.575,0.511,0.406,0.404,0.472,0.506,0.324,0.328,0.347,0.3,0.284,0.277,0.274,0.328,0.463,0.472,0.498,0.472,0.372,0.366,0.4,0.429,0.595,0.605,0.622,0.593,0.455,0.477,0.537,0.563,0.661,0.679,0.689,0.605,0.457,0.557,0.654,0.625,0.279,0.421,0.545,0.657,0.7
2020,1,0.668,0.683,0.709,0.626,0.597,0.537,0.595,0.63,0.514,0.525,0.565,0.473,0.558,0.412,0.458,0.502,0.626,0.641,0.669,0.584,0.582,0.519,0.521,0.578,0.71,0.719,0.738,0.697,0.628,0.603,0.639,0.67,0.745,0.76,0.771,0.704,0.591,0.632,0.729,0.71,0.415,0.555,0.696,0.779,0.8
2022,0,0.522,0.547,0.576,0.451,0.402,0.379,0.466,0.488,0.276,0.292,0.319,0.233,0.237,0.212,0.233,0.279,0.443,0.466,0.492,0.357,0.395,0.4,0.372,0.403,0.583,0.601,0.626,0.541,0.442,0.455,0.525,0.5,0.668,0.686,0.7,0.637,0.439,0.526,0.662,0.632,0.268,0.404,0.523,0.643,0.7